File,Codes,Page,ID,Text
"Switzerland_Holcim, 2022, climate report 2022","[d, e]",3,8051321864ec3ea46c76a58dda86455c,"We take a rigorous, science-driven approach to our net zero journey. In 2022 we upgraded our 2030 climate targets to be in line with the 1.5C scenario and validated them with SBTi. "
"Switzerland_Holcim, 2022, climate report 2022","[d, e]",4,77f8e622843873be402e1b5834dd939b,"We are accelerating our net-zero journey to decarbonize Holcim. Taking a science-driven approach, we upgraded our climate targets to align them with the 1.5C framework and validated them with the Science Based Targets initiative. We are making progress in carbon capture, utilization and storage, and committed to invest CHF 2 billion by 2030 in mature technologies to capture more than 5 million tons of CO2 per year. "
"Switzerland_Holcim, 2022, climate report 2022","[d, e]",5,5b49787e9734a91c55168f6d9840e327,"ECOPACT READY-MIX NET SALES 13 SOLUTIONS  PRODUCTS NET SALES 19 GREEN CAPEX CHF 403M SUSTAINABLE FINANCE 38 REDUCTION COT CEM YEAR ON YEAR 2 2022 IMPACT ACCELERATING GREEN GROWTH IMPACT DASHBOARD  RECOGNIZED CLIMATE LEADERSHIP Double A for Climate and Water A LIST 2022 CLIMATE WATER Signatory since 2017 First with net-zero targets validated by SBTi  1 2022 Scope 1  Scope 2 CO2 emissionsnet sales 5.1 4.7 3.7 21 2020 2021 2022 8  25 30 500M 40 24 2025 TARGETS STRETCHING OUR AMBITIONS FOR A 1.5C FUTURE Upgraded 1.5C aligned 2030 targets, validated by SBTI 2.0BN CCUS CAPEX by 2030 Cumulative in CHF  higher thermal performance, compared to competitive products on the market  OUR PURPOSE BUILDING PROGRESS FOR PEOPLE AND THE PLANET  Holcim is Accelerating Green Growth to become the global leader in innovative and sustainable building solutions. "
"Switzerland_Holcim, 2022, climate report 2022","[d, e]",14,cca5529e91b5e279dbd75fe03a951813,"BUILDINGS ACCOUNT FOR 30 embodied carbon 70 operational carbon emissions Source Global Alliance for Buildings and Construction, 2022 Global Status Report for Buildings and Construction 37 of the worlds CO emissions  In 2022 we updated our 2030 net-zero targets to be aligned with a 1.5C scenario of global warming and were among the first in our sector to have those targets validated by the Science Based Targets initiative. In this Climate Report you can see those updated targets for both direct and indirect emissions, and how they have been adjusted to exclude the effect of divestments. "
"Switzerland_Holcim, 2022, climate report 2022",[e],15,3063a6c6cbb645e8328ea2aa5185fcc9,"HOLCIMS NET-ZERO PLEDGE Etihad Museum in Dubai, UAE with Elevate UltraPly TPO roofing membrane  At Holcim, we take a science-driven approach to become a net-zero company and upgraded our targets to be in line with the 1.5C framework. "
"Switzerland_Holcim, 2022, climate report 2022","[d, e]",17,5b730d3393c3020a417ffa0818a60d30,"Validation of 2DS target Business ambition 1.5C and 2030 WB2DA target Holcim among the first companies with 2050 net-zero targets across three scopes Holcim upgraded its 2030 climate targets, validated by SBTi, in line with its sectors new 1.5C science-based framework  Climate action is at the core of our strategy. Today we have 2030 and 2050 net-zero targets validated by the Science Based Targets initiative (SBTi) across all three scopes. "
"Switzerland_Holcim, 2022, climate report 2022",[f],17,a3d18d0299de9df932c2d0bc9fd70515,"In 2019, our CO2 targets were validated as consistent with a scenario of limiting global warming to 2C. "
"Switzerland_Holcim, 2022, climate report 2022","[d, e]",17,1b9960b197e76e37a668335e536010ef,"In 2020, we were the first global building solutions company to sign the United Nations Global Compact (UNGC)s Business Ambition for 1.5C initiative, with intermediate 2030 targets approved by the SBTi in alignment with a net-zero pathway. "
"Switzerland_Holcim, 2022, climate report 2022",[d],17,4b8b4d3f6accbf7dfc20c586d7f32df4,"In 2021, our 2050 CO2 targets were among the first long-term targets validated by SBTi, consistent with the new net-zero standard across all scopes, setting a reference for our industry. "
"Switzerland_Holcim, 2022, climate report 2022","[d, e]",17,edba1e2526614ff907169f69453d7867,"In 2022, we upgraded our 2030 climate targets and validated them with the SBTi, in line with our sectors new 1.5C science-based framework. "
